Rule ID,Rule Name,Rule Description,Visa Type,Eligibility Criteria,Application Fee,Processing Time,Required Documents,Additional Notes
1,Visitor Visa,Allows individuals to visit the UK for tourism or family visits.,Visitor,Must have sufficient funds for the duration of stay and intention to return,£95,3 weeks,"Passport, bank statements, travel itinerary",Max 6 months stay per visit.
2,Tier 4 Student,For international students pursuing a course in the UK.,Student,"Accepted by a UK institution, proof of funds, English proficiency",£348,3 weeks,"Passport, CAS, financial proof, TB test",Can work part-time during term and full-time during breaks.
3,Tier 2 Work Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Work,"Job offer, Certificate of Sponsorship, appropriate salary",£610,8 weeks,"Passport, CoS, qualifications, proof of funds",Sponsorship from a licensed UK employer required.
4,Tier 2 Work Visa,For international students pursuing a course in the UK.,Family,"Accepted by a UK institution, proof of funds, English proficiency",£348,6 months,"Passport, business plan, endorsement letter, financial proof",Family visa holders can apply for indefinite leave to remain after 5 years.
5,Innovator Visa,Allows individuals to visit the UK for tourism or family visits.,Work,"Accepted by a UK institution, proof of funds, English proficiency",£348,12 weeks,"Passport, bank statements, travel itinerary",Can work part-time during term and full-time during breaks.
6,Tier 2 Work Visa,For international students pursuing a course in the UK.,Visitor,"Innovative business idea, proof of funds, endorsement by an approved body",£95,3 weeks,"Passport, business plan, endorsement letter, financial proof",Must maintain the endorsement and continue business activities.
7,Tier 2 Work Visa,Allows family members of UK residents to join them in the UK.,Student,Must have sufficient funds for the duration of stay and intention to return,"£1,523",3 weeks,"Passport, bank statements, travel itinerary",Max 6 months stay per visit.
8,Innovator Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Family,"Job offer, Certificate of Sponsorship, appropriate salary",£610,8 weeks,"Passport, relationship proof, financial proof",Must maintain the endorsement and continue business activities.
9,Tier 4 Student,For international students pursuing a course in the UK.,Student,"Innovative business idea, proof of funds, endorsement by an approved body","£1,523",6 months,"Passport, bank statements, travel itinerary",Family visa holders can apply for indefinite leave to remain after 5 years.
10,Tier 2 Work Visa,For experienced business people seeking to establish an innovative business in the UK.,Student,"Job offer, Certificate of Sponsorship, appropriate salary",£610,8 weeks,"Passport, relationship proof, financial proof",Max 6 months stay per visit.
11,Family Visa,Allows family members of UK residents to join them in the UK.,Work,"Family relationship proof, sufficient funds",£95,6 months,"Passport, CoS, qualifications, proof of funds",Can work part-time during term and full-time during breaks.
12,Visitor Visa,Allows family members of UK residents to join them in the UK.,Visitor,"Family relationship proof, sufficient funds",£610,6 months,"Passport, business plan, endorsement letter, financial proof",Sponsorship from a licensed UK employer required.
13,Visitor Visa,For international students pursuing a course in the UK.,Business,Must have sufficient funds for the duration of stay and intention to return,"£1,021",8 weeks,"Passport, business plan, endorsement letter, financial proof",Can work part-time during term and full-time during breaks.
14,Tier 2 Work Visa,For international students pursuing a course in the UK.,Student,"Innovative business idea, proof of funds, endorsement by an approved body","£1,021",12 weeks,"Passport, CoS, qualifications, proof of funds",Sponsorship from a licensed UK employer required.
15,Innovator Visa,For experienced business people seeking to establish an innovative business in the UK.,Visitor,"Family relationship proof, sufficient funds","£1,523",3 weeks,"Passport, CoS, qualifications, proof of funds",Must maintain the endorsement and continue business activities.
16,Innovator Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Business,"Family relationship proof, sufficient funds","£1,021",6 months,"Passport, CAS, financial proof, TB test",Can work part-time during term and full-time during breaks.
17,Tier 4 Student,For experienced business people seeking to establish an innovative business in the UK.,Family,"Accepted by a UK institution, proof of funds, English proficiency","£1,021",3 weeks,"Passport, business plan, endorsement letter, financial proof",Sponsorship from a licensed UK employer required.
18,Visitor Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Family,"Accepted by a UK institution, proof of funds, English proficiency",£610,12 weeks,"Passport, business plan, endorsement letter, financial proof",Family visa holders can apply for indefinite leave to remain after 5 years.
19,Tier 2 Work Visa,For experienced business people seeking to establish an innovative business in the UK.,Business,"Accepted by a UK institution, proof of funds, English proficiency","£1,021",6 months,"Passport, bank statements, travel itinerary",Can work part-time during term and full-time during breaks.
20,Family Visa,For experienced business people seeking to establish an innovative business in the UK.,Student,Must have sufficient funds for the duration of stay and intention to return,£610,8 weeks,"Passport, CoS, qualifications, proof of funds",Can work part-time during term and full-time during breaks.
21,Innovator Visa,Allows family members of UK residents to join them in the UK.,Work,"Job offer, Certificate of Sponsorship, appropriate salary",£95,3 weeks,"Passport, CoS, qualifications, proof of funds",Family visa holders can apply for indefinite leave to remain after 5 years.
22,Visitor Visa,For international students pursuing a course in the UK.,Work,"Accepted by a UK institution, proof of funds, English proficiency","£1,523",12 weeks,"Passport, CoS, qualifications, proof of funds",Sponsorship from a licensed UK employer required.
23,Visitor Visa,Allows family members of UK residents to join them in the UK.,Work,Must have sufficient funds for the duration of stay and intention to return,"£1,021",6 months,"Passport, CoS, qualifications, proof of funds",Must maintain the endorsement and continue business activities.
24,Tier 2 Work Visa,For international students pursuing a course in the UK.,Family,"Innovative business idea, proof of funds, endorsement by an approved body","£1,523",6 months,"Passport, relationship proof, financial proof",Can work part-time during term and full-time during breaks.
25,Family Visa,Allows individuals to visit the UK for tourism or family visits.,Family,"Innovative business idea, proof of funds, endorsement by an approved body",£610,12 weeks,"Passport, bank statements, travel itinerary",Can work part-time during term and full-time during breaks.
26,Tier 2 Work Visa,Allows individuals to visit the UK for tourism or family visits.,Business,"Job offer, Certificate of Sponsorship, appropriate salary",£95,3 weeks,"Passport, CoS, qualifications, proof of funds",Sponsorship from a licensed UK employer required.
27,Tier 2 Work Visa,For international students pursuing a course in the UK.,Student,"Innovative business idea, proof of funds, endorsement by an approved body",£95,8 weeks,"Passport, CAS, financial proof, TB test",Must maintain the endorsement and continue business activities.
28,Tier 4 Student,For experienced business people seeking to establish an innovative business in the UK.,Family,"Family relationship proof, sufficient funds",£610,12 weeks,"Passport, CoS, qualifications, proof of funds",Family visa holders can apply for indefinite leave to remain after 5 years.
29,Visitor Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Family,"Innovative business idea, proof of funds, endorsement by an approved body",£348,12 weeks,"Passport, bank statements, travel itinerary",Must maintain the endorsement and continue business activities.
30,Innovator Visa,For experienced business people seeking to establish an innovative business in the UK.,Family,"Family relationship proof, sufficient funds",£348,6 months,"Passport, CoS, qualifications, proof of funds",Must maintain the endorsement and continue business activities.
31,Family Visa,Allows individuals to visit the UK for tourism or family visits.,Work,"Family relationship proof, sufficient funds","£1,523",3 weeks,"Passport, business plan, endorsement letter, financial proof",Sponsorship from a licensed UK employer required.
32,Family Visa,For international students pursuing a course in the UK.,Business,"Job offer, Certificate of Sponsorship, appropriate salary",£610,6 months,"Passport, CAS, financial proof, TB test",Sponsorship from a licensed UK employer required.
33,Visitor Visa,Allows family members of UK residents to join them in the UK.,Business,"Innovative business idea, proof of funds, endorsement by an approved body","£1,523",12 weeks,"Passport, bank statements, travel itinerary",Sponsorship from a licensed UK employer required.
34,Tier 2 Work Visa,Allows individuals to visit the UK for tourism or family visits.,Business,"Innovative business idea, proof of funds, endorsement by an approved body","£1,021",3 weeks,"Passport, CoS, qualifications, proof of funds",Must maintain the endorsement and continue business activities.
